system,solution_scope,route_short_name,route_id,route_long_name,gtfs_directions,gtfs_shape_variants,gtfs_headsign_variants,line_shp_local,station_shp_local,ridership_local,etl_role,notes
Metro,integrado,1,B_CMX0200L1,Pantitlán - Observatorio,2,2,2,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,corredor simple
Metro,integrado,2,B_CMX0200L2,Cuatro Caminos - Tasqueña,2,2,2,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,corredor simple
Metro,integrado,3,B_CMX0200L3,Indios verdes - Universidad,2,2,2,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,corredor simple
Metro,integrado,4,B_CMX0200L4,Santa Anita - Martín Carrera,2,2,2,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,corredor simple
Metro,integrado,5,B_CMX0200L5,Politécnico - Pantitlán,2,2,2,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,corredor simple
Metro,integrado,6,B_CMX0200L6,El Rosario - Martín Carrera,2,2,2,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,corredor simple
Metro,integrado,7,B_CMX0200L7,El Rosario - Barranca del Muerto,2,2,2,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,corredor simple
Metro,integrado,8,B_CMX0200L8,Garibaldi - Constitución de 1917,2,2,2,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,corredor simple
Metro,integrado,9,B_CMX0200L9,Pantitlán - Tacubaya,2,2,2,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,corredor simple
Metro,integrado,A,B_CMX0200LA,Pantitlán - La Paz,2,2,2,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,corredor simple
Metro,integrado,B,B_CMX0200LB,Ciudad Azteca - Buenavista,2,2,2,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,corredor simple
Metro,integrado,L12,B_CMX020L12,Tláhuac-Mixcoac,2,2,2,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,corredor simple
Metrobus,integrado,1,B_CMX0300L1,Indios Verdes - El Caminero,2,10,6,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,ramales/variantes fuertes
Metrobus,integrado,2,B_CMX0300L2,Tepalcates - Tacubaya,2,10,8,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,ramales/variantes fuertes
Metrobus,integrado,3,B_CMX0300L3,Tenayuca - Pueblo Sta. Cruz Atoyac,2,10,6,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,ramales/variantes fuertes
Metrobus,integrado,4,B_CMX0300L4,Centro Histórico - Buenavista - San Lázaro/AICM T1 y T2/Pantitlán,2,9,8,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,ramales/variantes fuertes
Metrobus,integrado,5,B_CMX0300L5,Río de lo Remedios - Preparatoria 1,2,10,5,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,ramales/variantes fuertes
Metrobus,integrado,6,B_CMX0300L6,Villa de Aragón - El Rosario,2,6,4,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,ramales/variantes fuertes
Metrobus,integrado,7,B_CMX0300L7,Indios Verdes - Campo Marte,2,12,6,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,ramales/variantes fuertes
Metrobus,integrado,SL01,B_CMX03SL01,París - Alameda Tacubaya (Servicio de Apoyo L1),2,4,3,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,variantes moderadas
Trolebus,integrado,1,B_CMX0400L1,"Corredor cero emisiones ""Eje Central""",2,2,2,si,si,si,GTFS principal; SHP geometria; afluencia enrichment,corredor simple
